Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,429.0,8.0,21.0,4210.0,0.0,0.32063997000990296,0.0,0.0,1012.3850071430206,,,,,,,,,,,,,,,,,,,,,-6.485115426221444,4.315447175682674,0.45774242106025564,-13.655468815645374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,490.0,9.0,61.0,4271.0,0.0,26.89234492245707,0.0,0.0,1019.0972566604614,,,,,,,,,,,,,,,,,,,,,11.644186711603362,11.3180336902745,26.49206379109478,-10.258804751536815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,513.0,10.0,23.0,4294.0,0.0,-3.487755592536953,0.0,0.0,1022.2288973331451,,,,,,,,,,,,,,,,,,,,,-9.704706347464453,4.54228727952125,-2.39924108208273,-17.436894710087735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,652.0,11.0,139.0,4433.0,0.0,124.13727208307857,0.0,0.0,1036.8765528202057,,,,,,,,,,,,,,,,,,,,,53.989873387789125,37.77708618185034,116.86629540669364,-9.97990801051965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,780.0,12.0,128.0,4561.0,0.0,112.4618858256815,0.0,0.0,1050.2677643299103,,,,,,,,,,,,,,,,,,,,,48.27202628388901,34.95482811343385,106.4959518691299,-10.642948139810981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,829.0,13.0,49.0,4610.0,0.0,33.084294792909766,0.0,0.0,1055.5884070396423,,,,,,,,,,,,,,,,,,,,,10.389981243413276,13.404130831685757,32.640433939427446,-10.940937029069184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,918.0,14.0,89.0,4699.0,0.0,58.8213301980927,0.0,0.0,1065.1596426963806,,,,,,,,,,,,,,,,,,,,,27.769859878071447,21.06327048731328,56.46268156940163,-9.952515651988564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1028.0,15.0,110.0,4809.0,0.0,98.1180441097142,0.0,0.0,1076.9033913612366,,,,,,,,,,,,,,,,,,,,,43.2499679933444,30.260589440613455,93.54754918125954,-7.978996854948857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1085.0,16.0,57.0,4866.0,0.0,39.67397363890192,0.0,0.0,1083.0741000175476,,,,,,,,,,,,,,,,,,,,,13.03488942504552,15.50187007642102,39.00896386043137,-11.35102230727492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1181.0,17.0,96.0,4962.0,0.0,84.42078012512734,0.0,0.0,1093.3271627426147,,,,,,,,,,,,,,,,,,,,,36.945183379342105,26.54663532895455,81.03603355178043,-7.662558760431155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
